Actividades.id,Actividades.nombre,Actividades.tipo,Actividades.prioridad,Actividades.idSeccion,Actividades.fechaListo,Actividades.idAct
192,Divisibilidad por 7,notas,6,24,2018-07-10 13:04:02,58
193,Identifica múltiplos de 7,ejercicio,7,24,2018-07-10 13:20:31,135
822,Ejemplo de producto de binomios,video,4,118,2018-07-24 06:33:29,45
212,Identifica fracciones equivalentes,ejercicio,4,56,2018-07-11 05:20:27,142
213,Simplificación de fracciones,notas,5,56,2018-07-11 05:31:46,67
26,Definición,notas,1,3,2018-06-13 08:17:13,4
867,Evalúa una función,ejercicio,2,122,2018-07-24 18:28:17,527
821,Producto de binomios,ejercicio,5,118,2018-07-24 06:20:01,491
820,Ejemplo producto de binomios con término común,video,6,118,2018-07-24 06:16:39,44
1153,Evalúa la superficie de un prisma,ejercicio,10,153,2018-08-01 05:47:16,739
214,Suma y resta de fracciones,video,8,56,2018-07-11 10:54:55,25
1160,Valor de un ángulo II,ejercicio,4,152,2018-08-01 10:29:57,729
1151,Superficie de un prisma,notas,9,153,2018-08-01 05:46:30,349
61,Ubica el Poste de Luz,ejercicio,10,9,2018-06-22 12:00:45,80
887,Inversa de una función lineal,ejercicio,3,125,2018-07-25 04:18:37,536
67,Introducción,notas,1,15,2018-06-24 12:27:09,27
889,Evalúa pendiente,ejercicio,4,125,2018-07-25 04:27:13,538
237,Evalúa radical,ejercicio,6,59,2018-07-11 17:08:54,158
62,Definición Rectas Paralelas,notas,1,14,2018-06-19 21:18:04,26
29,Rectas Paralelas,ejercicio,8,14,2018-06-21 20:13:49,41
33,Paralela dado un Corte con un Eje,ejercicio,10,14,2018-06-24 10:53:11,47
55,Ecuación dados Dos Puntos,notas,1,10,2018-06-17 12:24:33,23
34,Ángulos,notas,2,11,2018-06-14 22:29:34,12
28,Medida de un ángulo en radianes,notas,4,11,2018-06-29 10:21:32,20
14,Área de un Lote,ejercicio,10,10,2018-06-23 23:10:07,46
69,Encuentra el Centro y el Radio,ejercicio,5,17,2018-06-24 16:21:53,44
63,Punto de Corte,ejercicio,12,10,2018-06-20 08:47:12,34
57,División dada una Razón,notas,1,9,2018-06-18 20:23:14,16
21,El Plano Cartesiano,notas,1,8,2018-06-18 12:11:04,9
70,Circunferencia dados Centro y Radio,ejercicio,7,17,2018-06-24 16:35:53,56
59,Punto dada una Razón,ejercicio,5,9,2018-06-19 21:48:56,78
60,Razón dado un Punto,ejercicio,7,9,2018-06-23 20:15:43,79
71,Circunferencia dados Centro y Punto,ejercicio,9,17,2018-06-24 16:22:08,57
51,Construcción animada de la gráfica de Coseno,video,2,4,2018-06-20 22:12:25,14
74,Encuentra Centro y Radio dada Ecuación,ejercicio,5,18,2018-06-24 17:02:35,10
25,Vértices de un Triángulo,ejercicio,12,9,2018-06-23 21:12:15,63
31,Funciones trigonométricas,notas,1,5,2018-06-20 19:33:30,13
53,Ecuaciones Trigonométricas,notas,1,13,2018-06-24 11:26:23,25
890,Interés simple 1,ejercicio,5,125,2018-07-25 04:32:52,539
11,Recta dados Dos Puntos,ejercicio,6,10,2018-06-23 23:11:20,71
238,Simplifica radicales,ejercicio,8,59,2018-07-11 17:32:58,159
75,Circunferencia dados Tres Puntos,ejercicio,7,18,2018-06-24 17:02:42,14
68,Recta Tangente en un Punto,ejercicio,13,18,2018-06-24 17:02:47,7
13,Evalúa Puntos,ejercicio,8,10,2018-06-23 23:10:29,45
239,Simplifcación de radicales,notas,7,59,2018-07-11 17:35:14,74
6,Recta dado Punto de Corte,ejercicio,14,10,2018-06-20 14:58:59,36
12,Identidades trigonométricas,notas,1,12,2018-06-24 09:59:09,17
241,Diferencia negativa,notas,1,66,2018-07-11 17:59:12,75
