EjerciciosDia.id,EjerciciosDia.userName,EjerciciosDia.idCurso,EjerciciosDia.fecha,EjerciciosDia.total
1,matematicas,1,2019-07-21 00:00:00,4
2,rcasas,3,2019-07-21 00:00:00,2
3,rcasas,3,2019-07-22 00:00:00,1
38,454347899,3,2019-07-24 00:00:00,4
18,432853296,3,2019-07-24 00:00:00,10
9,432371494,3,2019-07-24 00:00:00,7
4,vortega,3,2019-07-23 00:00:00,15
5,fpcruz,3,2019-07-23 00:00:00,2
6,matematicas,1,2019-07-24 00:00:00,1
37,440438199,3,2019-07-24 00:00:00,2
531,444855893,3,2019-07-24 00:00:00,2
81,433812795,1,2019-07-24 00:00:00,5
94,432138292,1,2019-07-24 00:00:00,4
115,433144693,1,2019-07-24 00:00:00,9
99,455327691,3,2019-07-24 00:00:00,4
8,yfernandez,1,2019-07-24 00:00:00,11
31,448563495,3,2019-07-24 00:00:00,4
85,431944294,3,2019-07-24 00:00:00,5
11,433850597,3,2019-07-24 00:00:00,6
24,439828694,3,2019-07-24 00:00:00,4
7,matematicas,3,2019-07-24 00:00:00,2
49,447195690,3,2019-07-24 00:00:00,4
13,445252196,3,2019-07-24 00:00:00,5
92,440649597,1,2019-07-24 00:00:00,4
21,434959395,3,2019-07-24 00:00:00,4
10,432473997,3,2019-07-24 00:00:00,5
65,447670093,3,2019-07-24 00:00:00,2
19,432326696,3,2019-07-24 00:00:00,5
62,433216598,3,2019-07-24 00:00:00,18
109,433238199,1,2019-07-24 00:00:00,7
75,433007494,3,2019-07-24 00:00:00,3
28,432722696,3,2019-07-24 00:00:00,5
30,436575095,3,2019-07-24 00:00:00,5
22,443949793,3,2019-07-24 00:00:00,7
16,452342791,3,2019-07-24 00:00:00,9
15,433237799,3,2019-07-24 00:00:00,3
29,456534095,3,2019-07-24 00:00:00,6
33,432323091,3,2019-07-24 00:00:00,4
12,437302795,3,2019-07-24 00:00:00,5
103,regutierrez,3,2019-07-24 00:00:00,10
23,433192999,3,2019-07-24 00:00:00,6
34,432515798,3,2019-07-24 00:00:00,7
61,433775798,1,2019-07-24 00:00:00,4
45,436475392,3,2019-07-24 00:00:00,3
32,436540599,3,2019-07-24 00:00:00,7
1014,nmateo,1,2019-07-25 00:00:00,7
107,445376091,3,2019-07-24 00:00:00,6
20,454868790,3,2019-07-24 00:00:00,6
98,457922899,1,2019-07-24 00:00:00,2
35,447127997,3,2019-07-24 00:00:00,3
67,457913491,1,2019-07-24 00:00:00,6
25,438396495,3,2019-07-24 00:00:00,6
113,455035891,3,2019-07-24 00:00:00,8
106,432468393,3,2019-07-24 00:00:00,5
112,439080498,3,2019-07-24 00:00:00,6
89,433025790,1,2019-07-24 00:00:00,3
96,457378390,1,2019-07-24 00:00:00,5
44,436327190,3,2019-07-24 00:00:00,6
73,457428794,3,2019-07-24 00:00:00,11
80,432251495,3,2019-07-24 00:00:00,6
77,432754090,3,2019-07-24 00:00:00,4
66,457497599,3,2019-07-24 00:00:00,3
87,453438093,1,2019-07-24 00:00:00,9
52,439880292,3,2019-07-24 00:00:00,10
57,443960899,3,2019-07-24 00:00:00,4
108,436376990,3,2019-07-24 00:00:00,8
27,441917590,3,2019-07-24 00:00:00,4
51,434781592,3,2019-07-24 00:00:00,8
114,433937196,3,2019-07-24 00:00:00,8
100,439011896,3,2019-07-24 00:00:00,2
26,433761992,3,2019-07-24 00:00:00,6
83,448809090,3,2019-07-24 00:00:00,3
121,447213395,3,2019-07-24 00:00:00,3
102,432600791,1,2019-07-24 00:00:00,3
55,439648497,3,2019-07-24 00:00:00,5
17,437150199,3,2019-07-24 00:00:00,7
90,454996692,1,2019-07-24 00:00:00,5
54,432923292,3,2019-07-24 00:00:00,3
70,458029195,3,2019-07-24 00:00:00,8
72,456686993,3,2019-07-24 00:00:00,9
97,447709293,1,2019-07-24 00:00:00,5
68,432457099,3,2019-07-24 00:00:00,8
60,445293693,3,2019-07-24 00:00:00,5
42,457934697,3,2019-07-24 00:00:00,4
82,433147391,3,2019-07-24 00:00:00,7
41,433832493,3,2019-07-24 00:00:00,6
43,433156998,3,2019-07-24 00:00:00,7
36,lfarinas,3,2019-07-24 00:00:00,3
93,442802398,3,2019-07-24 00:00:00,11
95,454410895,3,2019-07-24 00:00:00,3
84,432488495,1,2019-07-24 00:00:00,5
63,454982990,3,2019-07-24 00:00:00,2
48,437320697,3,2019-07-24 00:00:00,5
14,434969991,3,2019-07-24 00:00:00,10
39,439871497,3,2019-07-24 00:00:00,5
78,438932999,1,2019-07-24 00:00:00,4
47,432521192,3,2019-07-24 00:00:00,6
86,443368795,3,2019-07-24 00:00:00,9
76,433255095,1,2019-07-24 00:00:00,7
59,436604399,1,2019-07-24 00:00:00,5
91,456630196,1,2019-07-24 00:00:00,7
56,458103496,3,2019-07-24 00:00:00,6
116,442854597,1,2019-07-24 00:00:00,2
111,433046297,1,2019-07-24 00:00:00,14
120,432542895,3,2019-07-24 00:00:00,6
71,435668199,3,2019-07-24 00:00:00,5
110,433888292,3,2019-07-24 00:00:00,4
104,453805193,1,2019-07-24 00:00:00,5
101,432007596,1,2019-07-24 00:00:00,6
79,439817395,1,2019-07-24 00:00:00,13
46,436631591,3,2019-07-24 00:00:00,6
53,440713996,3,2019-07-24 00:00:00,6
105,439157590,3,2019-07-24 00:00:00,4
117,433613893,1,2019-07-24 00:00:00,1
64,434508994,1,2019-07-24 00:00:00,4
69,441553599,1,2019-07-24 00:00:00,3
617,439749099,3,2019-07-24 00:00:00,1
532,432807697,3,2019-07-24 00:00:00,4
694,433831196,3,2019-07-24 00:00:00,2
548,matetest1,1,2019-07-24 00:00:00,6
600,445326692,1,2019-07-24 00:00:00,1
119,442856990,3,2019-07-24 00:00:00,5
