Estudiante.id,Estudiante.userName,Estudiante.PE,Estudiante.idCurso,Estudiante.prof,Estudiante.seccion,Estudiante.initDate,Estudiante.endDate,Estudiante.periodo
1911,433825180,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1912,439858481,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1913,435010684,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1914,429090985,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1915,433220183,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1916,431704987,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1917,438020983,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1918,428178781,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1919,434926783,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1920,436737389,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1921,431600985,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1922,439894388,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1923,430900589,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1924,432755588,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1925,431633487,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1926,437970489,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1927,428620081,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1928,436865881,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1929,437343782,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1930,429103380,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1931,430913084,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1932,429808082,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1933,430110785,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1934,428863683,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1935,433909185,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1936,438915188,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1937,436830586,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1938,436894683,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1939,437070782,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1940,435401989,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1941,439497083,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1942,433415480,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1943,428589382,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1944,431660483,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1945,429064580,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1946,430367288,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1947,437999386,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1948,432803484,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1949,433000189,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1950,428569589,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1951,429028385,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1952,437326087,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1953,429398584,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1954,433586780,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1955,430710383,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1956,429093289,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1957,429200682,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1958,432413387,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1959,428528285,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1960,438001086,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1961,436306987,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1962,436478082,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1963,438394181,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1964,429082888,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1965,433196983,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1966,429033985,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1967,434708785,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1968,428170385,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1969,430477684,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1970,429053388,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1971,437970587,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1972,428939486,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1973,436347985,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1974,439004283,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1975,436899981,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1976,439517481,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1977,429887281,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1978,431249388,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1979,436745880,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1980,435016883,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1981,433394986,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1982,429275085,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1983,429473482,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1984,435583886,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1985,430297881,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1986,428662089,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1987,429276585,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1988,428791484,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1989,433842587,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1990,437106387,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1991,439038287,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1992,431853185,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1993,430006988,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1994,430608581,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1995,436802689,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1996,429781285,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1997,430361788,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1998,431148483,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
1999,430392388,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2000,433923188,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2001,428661184,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2002,439679580,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2003,428994580,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2004,428697189,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2005,439854788,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2006,428637186,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2007,438956383,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2008,428825487,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2009,429046585,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2010,428198181,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2011,437833680,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2012,439427685,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2013,429091582,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2014,440143080,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2015,429057182,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2016,428642285,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2017,429092283,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2018,430697083,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2019,437902480,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2020,433348484,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2021,430708881,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2022,438011181,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2023,439068187,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2024,429048884,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2025,429094783,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2026,428751182,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2027,438008988,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2028,428659189,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2029,438528686,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2030,430948981,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2031,428508388,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2032,429005389,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2033,439853783,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2034,428185487,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2035,430884582,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2036,428784389,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2037,440087781,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2038,437321180,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2039,430519487,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2040,430535885,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2041,436685486,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2042,433386982,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2043,428790684,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2044,430220389,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2045,436844682,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2046,434857283,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2047,436733887,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2048,435064788,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2049,436876784,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2050,437966287,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2051,428649884,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2052,433700785,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2053,428955385,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2054,437942185,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2055,428169084,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2056,432755189,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2057,434975281,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2058,439437580,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2059,429080086,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2060,430499380,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2061,429010582,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2062,428656888,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
