Estudiante.id,Estudiante.userName,Estudiante.PE,Estudiante.idCurso,Estudiante.prof,Estudiante.seccion,Estudiante.initDate,Estudiante.endDate,Estudiante.periodo
1911,190300636,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1912,190300636,II,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1913,190300637,TA,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1914,190300637,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1915,190300639,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1916,190300639,IA,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1917,190300641,TS,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1918,190300641,II,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1919,190300647,TS,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1920,190300647,ID,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1921,190300648,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1922,190300648,ID,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1923,190300649,TS,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1924,190300649,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1925,190300653,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1926,190300653,IE,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1927,190300655,TS,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1928,190300655,IE,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1929,190300699,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1930,190300699,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1931,190300899,GA,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1932,190300899,IE,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1933,190300911,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1934,190300911,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1935,190300913,II,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1936,190300913,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1937,190300921,GA,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1938,190300921,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1939,190300922,II,1,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1940,190300922,NI,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
1941,428150585,GA,3,<NULL>,<NULL>,02/08/2019 13:23,<NULL>,ver2018
