Secciones.id,Secciones.nombre,Secciones.descripcion,Secciones.prioridad,Secciones.idTema,Secciones.examen,Secciones.practica,Secciones.fechaListo
10,Ecuaciones de la Recta ,,1,12,<NULL>,<NULL>,2018-06-17 12:24:10
13,Ecuaciones Trigonométricas,,2,10,<NULL>,<NULL>,2018-06-24 11:26:09
14,Rectas Paralelas y Perpendiculares,,2,12,<NULL>,<NULL>,2018-06-19 21:17:33
15,Ley del Seno,,1,9,<NULL>,<NULL>,2018-06-24 12:26:46
16,Ley del Coseno,,2,9,<NULL>,<NULL>,2018-06-24 16:31:30
17,Ecuación Centro-Radio de la Circunferencia,,1,14,<NULL>,<NULL>,2018-06-24 12:29:55
18,Ecuación General de la Circunferencia,,2,14,<NULL>,<NULL>,2018-06-24 17:01:50
19,Definición y Elementos de una Parábola,,1,15,<NULL>,<NULL>,2018-06-24 21:03:22
97,Producto de monomios y polinomios,,1,19,False,False,2018-07-19 01:22:30
98,Producto de binomios,,2,19,False,False,2018-07-19 01:55:27
99,Evaluación,,3,19,True,False,2018-07-19 06:33:19
8,Fórmula de la Distancia,,1,13,<NULL>,<NULL>,2018-06-18 12:10:59
9,División de un Segmento,,2,13,<NULL>,<NULL>,2018-06-18 20:23:04
12,Identidades Trigonométricas,,1,10,False,<NULL>,2018-06-24 09:58:59
3,Definición y propiedades,,1,8,<NULL>,<NULL>,2018-06-13 08:15:38
2,Potencias y logaritmos,,2,8,<NULL>,<NULL>,2018-06-13 08:16:25
20,Sucesiones,,3,8,<NULL>,<NULL>,2018-06-30 05:00:21
62,Evaluación,,5,8,True,<NULL>,2018-07-09 11:13:04
68,Práctica,Ejemplos sobre ejercicios con números naturales,4,8,False,True,1900-07-14 05:40:21
21,Introducción y propiedades,,1,1,<NULL>,<NULL>,2018-07-03 05:33:26
24,Números primos y divisibilidad,,2,1,False,<NULL>,2018-07-03 05:34:16
66,Sucesiones aritméticas [continuación] ,,3,1,False,False,2018-07-11 17:58:37
63,Evaluación,,5,1,True,<NULL>,2018-07-09 11:21:41
69,Práctica,Operaciones con números enteros,4,1,False,True,1900-07-14 13:04:00
56,"Definición, operaciones y propiedades",,1,2,False,<NULL>,2018-07-03 09:08:11
59,Potencias y radicales,,2,2,<NULL>,<NULL>,2018-07-03 09:08:56
60,Ecuaciones lineales,,3,2,<NULL>,<NULL>,2018-07-03 09:09:07
67," Porcentajes, razones y proporciones ",,4,2,False,False,2018-07-12 12:25:28
64,Evaluación,,6,2,True,False,2018-07-11 13:34:46
70,Práctica,Operaciones con números racionales,5,2,False,True,1900-07-14 17:12:21
71,Definición y propiedades,,1,16,<NULL>,<NULL>,2018-06-13 08:15:38
72,Potencias y logaritmos,,2,16,<NULL>,<NULL>,2018-06-13 08:16:25
73,Sucesiones,,3,16,<NULL>,<NULL>,2018-06-30 05:00:21
74,Práctica,Ejemplos sobre ejercicios con números naturales,4,16,False,True,1900-07-14 05:40:21
75,Evaluación,,5,16,True,<NULL>,2018-07-09 11:13:04
76,Introducción y propiedades,,1,17,<NULL>,<NULL>,2018-07-03 05:33:26
77,Números primos y divisibilidad,,2,17,False,<NULL>,2018-07-03 05:34:16
78,Sucesiones aritméticas [continuación] ,,3,17,False,False,2018-07-11 17:58:37
79,Práctica,Operaciones con números enteros,4,17,False,True,1900-07-14 13:04:00
80,Evaluación,,5,17,True,<NULL>,2018-07-09 11:21:41
81,"Definición, operaciones y propiedades",,1,18,False,<NULL>,2018-07-03 09:08:11
82,Potencias y radicales,,2,18,<NULL>,<NULL>,2018-07-03 09:08:56
83,Ecuaciones lineales,,3,18,<NULL>,<NULL>,2018-07-03 09:09:07
94,Producto de monomios y polinomios,,1,5,False,False,2018-07-19 01:22:30
