Temas.id,Temas.nombre,Temas.fechaListo,Temas.enabled,Temas.prioridad,Temas.idUnidad
8,Números naturales                                            ,1900-06-13 08:06:27,True,1,1
21,Funciones lineales                                            ,1900-07-15 05:05:08,True,6,4
44,Árboles de regresión,1900-08-14 04:42:38,False,1,16
28,Examen de álgebra                                                                                                                                                                                                                                                                                                                    ,1900-07-15 11:01:02,True,2,11
1,Números enteros                                            ,1900-06-13 08:06:39,True,2,1
2,Números racionales                                            ,1900-06-13 08:06:56,True,3,1
23,Líneas rectas,1900-07-15 05:06:00,False,1,5
24,Ángulos,1900-07-15 05:06:13,False,2,5
16,Números naturales,1900-07-15 05:04:05,True,1,4
17,Números enteros,1900-07-15 05:04:15,True,2,4
18,Números racionales,1900-07-15 05:04:27,True,3,4
45,Árboles de clasificación,1900-08-14 04:42:56,False,2,16
3,Números reales                                            ,1900-06-13 08:07:11,True,4,1
19,Productos notables                                            ,1900-07-15 05:04:46,True,4,4
5,Productos notables                                            ,1900-06-13 08:07:34,True,6,1
22,Sistemas de ecuaciones lineales                                            ,1900-07-15 05:05:30,True,7,4
4,Números complejos                                            ,1900-06-13 08:07:22,True,5,1
7,Álgebra de polinomios                                            ,1900-06-13 08:07:56,True,8,1
13,Plano Cartesiano                                             ,1900-06-13 08:08:09,True,1,2
25,Figuras geométricas planas                                            ,1900-07-15 05:06:29,True,3,5
32,Examen de geometría                                                                                                                                                                                                                                                                   ,1900-07-15 11:01:58,True,3,12
20,Factorización                                                                                                                                    ,1900-07-15 05:04:57,True,5,4
46,Bagging,1900-08-14 04:43:14,False,3,16
47,Boosting,1900-08-14 04:43:30,False,4,16
48,Bosques aleatorios,1900-08-14 04:43:47,False,5,16
12,Línea Recta                                             ,1900-06-13 08:08:18,True,2,2
29,Examen de trigonometría y geometría analítica                                                                                                                                    ,1900-07-15 11:01:15,True,3,11
14,Circunferencia                                             ,1900-06-13 08:08:27,True,3,2
33,Regresión lineal múltiple,1900-08-14 04:38:16,False,1,13
15,Parábola                                                                                                                                                                                                                            ,1900-06-13 08:08:37,True,4,2
6,Factorización                                                                                                                                                                                 ,1900-06-13 08:07:43,True,7,1
11,Funciones Trigonométricas                                                                                                                                                                                 ,1900-06-13 08:48:25,True,1,3
34,Selección de predictores,1900-08-14 04:38:42,False,2,13
54,Cinética,1900-09-19 10:36:53,False,2,18
10,Identidades y Ecuaciones Trigonométricas                                                                                                                                                                                                                                                                     ,1900-06-13 08:49:00,True,2,3
9,Aplicaciones                                                                                                                                    ,1900-06-13 08:49:22,True,3,3
35,Regresión Ridge,1900-08-14 04:39:07,False,3,13
36,Regresión Lasso,1900-08-14 04:39:38,False,4,13
26,Figuras geométricas sólidas                                            ,1900-07-15 05:06:58,True,4,5
55,Objeto y aplicaciones de la termodinámica,1900-01-14 14:45:19,False,1,21
37,Vecinos más cercanos,1900-08-14 04:40:12,False,1,14
38,Análisis de discriminantes lineales,1900-08-14 04:40:31,False,2,14
39,Regresión logística,1900-08-14 04:40:50,False,3,14
40,Análisis de componentes principales,1900-08-14 04:41:07,False,1,15
41,K-Medias,1900-08-14 04:41:34,False,2,15
42,Mapas auto-organizados,1900-08-14 04:41:49,False,3,15
43,Agrupamiento jerárquico,1900-08-14 04:42:06,False,4,15
49,Definición de la física y su campo de estudio,1900-09-19 10:19:43,False,1,17
50,Método científico aplicado a la solución de problemas en la ingeniería,1900-09-19 10:20:40,False,2,17
51,Sistemas de medida y unidades de medición,1900-09-19 10:21:05,False,3,17
52,Operaciones con vectores 2D y su descomposición,1900-09-19 10:21:31,False,4,17
53,Cinemática ,1900-09-19 10:36:41,False,1,18
56,Conceptos básicos,1900-01-14 14:46:00,False,2,21
57,Temperatura y Ley Cero,1900-01-14 14:46:22,False,3,21
58,Definición del trabajo en: Sistemas mecánicos y Sistemas termodinámicos.,1900-01-14 14:46:50,False,1,22
59,El Primer Principio de la Termodinámica.,1900-01-14 14:47:11,False,2,22
60,Capacidades caloríficas,1900-01-14 14:47:39,False,3,22
61,Energía Interna,1900-01-14 14:47:53,False,4,22
62,Procesos irreversibles y reversibles,1900-01-14 14:48:10,False,1,23
63,"Enunciados del Segundo Principio: Clausius, Kelvin-Planck.",1900-01-14 14:48:26,False,2,23
64,Entropía.,1900-01-14 14:48:45,False,3,23
65,Máquinas térmicas,1900-01-14 14:49:01,False,4,23
66,El ciclo de Carnot inverso:,1900-01-14 14:49:24,False,5,23
67,Ciclo de Stirling y Ericsson,1900-01-14 14:49:39,False,1,24
